sentiment,review
1,Good but need updates and improvements
0,"Worst mobile i have bought ever, Battery is draining like hell, backup is only 6 to 7 hours with internet uses, even if I put mobile idle its getting discharged.This is biggest lie from Amazon & Lenove which is not at all expected, they are making full by saying that battery is 4000MAH & booster charger is fake, it takes at least 4 to 5 hours to be fully charged.Don't know how Lenovo will survive by making full of us.Please don;t go for this else you will regret like me."
1,when I will get my 10% cash back.... its already 15 January..
1,Good
0,The worst phone everThey have changed the last phone but the problem is still same and the amazon is not returning the phone .Highly disappointing of amazon
0,Only I'm telling don't buyI'm totally disappointedPoor batteryPoor cameraWaste of money
1,"Phone is awesome. But while charging, it heats up allot..Really a genuine reason to hate Lenovo k8 note"
0,The battery level has worn down
0,It's over hitting problems...and phone hanging problems Lenovo k 8 note...so where is service station in Ahmedabad it's one years warranty so it's can change the phone by lenovo
0,A lot of glitches dont buy this thing better go for some other options
0,Wrost
1,Good phone but charger not working / damage within 2 months.
0,"Don't purchase this item, It is so much of heating &Battery life is very poor"
0,I have faced the battery problem and motherboard problem with in 8 months. This is the worst mobile in my life.
1,Very good phone slim good battry backup good screen love it
0,headset is not available
0,every time automatic on and off so kindly suggest me what i can do
1,"Best product according to their prize range and it's specification comparison to another mobile(under range) and I had bought this phone during amazon seal so I had 2 paid only 10,999 but I have also hdpf credit card in which I was to paid only Rs 9998.. .. So for me... It was 1 of the best deal ever which I hv done on Amazon.."
0,Battery draining very rapidly I don't know why..Tell me possible solutions for battery life
1,Good smartphone
1,good
0,Galery problem and there is not atmos speakerNormal speaker in this phone
1,"Excellent camera , excellent speed.excellent features.excelent battery."
1,It ok good product
0,It is not a very good product camera are very poor ...Os is not good...Battery draining very quickly...Like a odinary phone..It was fully unexpected product from Lenovo..
0,"Does not have many options like cast screen, with or without WiFi. No call recording option available. Doesn't even connect mobile hotspot"
0,They have not gave with phone USB cable
1,Awesome phone in this price and this is my second mobile from lenovo. It is fast and display has been improved.
0,The best of specifications with worst of functions... The worst phone any1 can ever buy..
0,"I bouth this Fon , but I am surprised to see that,This Fon has two speekars but only one ringing other is non ringing. I am disappointed ."
0,Good phone. But there is some issue in displaying colors on screen.
0,"Before the new update of 8.0 Oreo, it worked superbly, the battery back-up is also superb and there is not that much heating problem...But... After that update, my phone got heating up simply, battery is also draining unnecessarily... really very much disappointed after that update of 8.0 Oreo...😒😒☹️"
0,Not a good one. Dual SIM are not working. Poor customer service.
0,Good performance but the battery gets oveheated
